new_header	new_type	legacy_type	file	line	matched_pattern	text
m-kconfig/include/kconfig/store.hpp	ConfigStore	karma::common::config::ConfigStore	m-bz3/src/client/net/world_package/apply.cpp	130	\b(?:karma::)?common::config::ConfigStore\b	!karma::common::config::ConfigStore::AddRuntimeLayer(kRuntimeLayerLabel,
m-kconfig/include/kconfig/store.hpp	ConfigStore	karma::common::config::ConfigStore	m-bz3/src/client/runtime/tank_collision.cpp	148	\b(?:karma::)?common::config::ConfigStore\b	"const auto world_path = karma::common::config::ConfigStore::ResolveAssetPath(""assets.models.world"", {});"
m-kconfig/include/kconfig/store.hpp	ConfigStore	karma::common::config::ConfigStore	m-bz3/src/client/runtime/tank_entity.cpp	37	\b(?:karma::)?common::config::ConfigStore\b	"const auto model_path = karma::common::config::ConfigStore::ResolveAssetPath(""assets.models.playerModel"", {});"
m-kconfig/include/kconfig/store.hpp	ConfigStore	karma::common::config::ConfigStore	m-bz3/src/server/net/event_source.cpp	171	\b(?:karma::)?common::config::ConfigStore\b	"const auto* events_value = karma::common::config::ConfigStore::Get(""server.startupEvents"");"
m-kconfig/include/kconfig/store.hpp	ConfigStore	karma::common::config::ConfigStore	m-bz3/src/server/runtime/config.cpp	47	\b(?:karma::)?common::config::ConfigStore\b	community_heartbeat->configureFromConfig(karma::common::config::ConfigStore::Merged(),
m-kconfig/include/kconfig/store.hpp	ConfigStore	karma::common::config::ConfigStore	m-bz3/src/server/runtime/server_game.cpp	738	\b(?:karma::)?common::config::ConfigStore\b	"const auto world_path = karma::common::config::ConfigStore::ResolveAssetPath(""assets.models.world"", {});"
m-kconfig/include/kconfig/store.hpp	ConfigStore	karma::common::config::ConfigStore	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	508	\b(?:karma::)?common::config::ConfigStore\b	karma::common::config::ConfigStore::Initialize({}, config_path);
m-kconfig/include/kconfig/store.hpp	ConfigStore	karma::common::config::ConfigStore	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	509	\b(?:karma::)?common::config::ConfigStore\b	"(void)karma::common::config::ConfigStore::Set(""client.config.SaveIntervalSeconds"", 5.0);"
m-kconfig/include/kconfig/store.hpp	ConfigStore	karma::common::config::ConfigStore	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	510	\b(?:karma::)?common::config::ConfigStore\b	"(void)karma::common::config::ConfigStore::Set(""client.config.MergeIntervalSeconds"", 5.0);"
m-kconfig/include/kconfig/store.hpp	ConfigStore	karma::common::config::ConfigStore	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	698	\b(?:karma::)?common::config::ConfigStore\b	karma::common::config::ConfigStore::Initialize({}, config_path);
m-kconfig/include/kconfig/store.hpp	ConfigStore	karma::common::config::ConfigStore	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	699	\b(?:karma::)?common::config::ConfigStore\b	"(void)karma::common::config::ConfigStore::Set(""client.config.SaveIntervalSeconds"", 5.0);"
m-kconfig/include/kconfig/store.hpp	ConfigStore	karma::common::config::ConfigStore	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	700	\b(?:karma::)?common::config::ConfigStore\b	"(void)karma::common::config::ConfigStore::Set(""client.config.MergeIntervalSeconds"", 5.0);"
m-kconfig/include/kconfig/store.hpp	ConfigStore	karma::common::config::ConfigStore	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	799	\b(?:karma::)?common::config::ConfigStore\b	karma::common::config::ConfigStore::Initialize({}, config_path);
m-kconfig/include/kconfig/store.hpp	ConfigStore	karma::common::config::ConfigStore	m-bz3/src/tests/client_world_package_safety_integration_test.cpp	800	\b(?:karma::)?common::config::ConfigStore\b	"(void)karma::common::config::ConfigStore::Set(""client.config.SaveIntervalSeconds"", 5.0);"
