new_header	new_symbol	legacy_symbol	file	line	matched_pattern	text
m-kconfig/include/kconfig/data/path_utils.hpp	Canonicalize	Canonicalize	m-karma/src/audio/backends/miniaudio/clip_cache.cpp	31	\b(?:karma::)?common::data::path_utils::Canonicalize\s*\(	return karma::common::data::path_utils::Canonicalize(requested);
m-kconfig/include/kconfig/data/path_utils.hpp	Canonicalize	Canonicalize	m-karma/src/audio/backends/miniaudio/clip_cache.cpp	35	\b(?:karma::)?common::data::path_utils::Canonicalize\s*\(	return karma::common::data::path_utils::Canonicalize(requested);
m-kconfig/include/kconfig/data/path_utils.hpp	Canonicalize	Canonicalize	m-karma/src/audio/backends/miniaudio/clip_cache.cpp	41	\b(?:karma::)?common::data::path_utils::Canonicalize\s*\(	return karma::common::data::path_utils::Canonicalize(resolved);
m-kconfig/include/kconfig/data/path_utils.hpp	Canonicalize	Canonicalize	m-karma/src/audio/backends/miniaudio/clip_cache.cpp	49	\b(?:karma::)?common::data::path_utils::Canonicalize\s*\(	return karma::common::data::path_utils::Canonicalize(prefixed);
m-kconfig/include/kconfig/data/path_utils.hpp	Canonicalize	Canonicalize	m-karma/src/audio/backends/miniaudio/clip_cache.cpp	57	\b(?:karma::)?common::data::path_utils::Canonicalize\s*\(	return karma::common::data::path_utils::Canonicalize(resolved);
m-kconfig/include/kconfig/data/path_utils.hpp	Canonicalize	Canonicalize	m-karma/src/audio/backends/sdl3audio/clip_cache.cpp	32	\b(?:karma::)?common::data::path_utils::Canonicalize\s*\(	return karma::common::data::path_utils::Canonicalize(requested);
m-kconfig/include/kconfig/data/path_utils.hpp	Canonicalize	Canonicalize	m-karma/src/audio/backends/sdl3audio/clip_cache.cpp	36	\b(?:karma::)?common::data::path_utils::Canonicalize\s*\(	return karma::common::data::path_utils::Canonicalize(requested);
m-kconfig/include/kconfig/data/path_utils.hpp	Canonicalize	Canonicalize	m-karma/src/audio/backends/sdl3audio/clip_cache.cpp	42	\b(?:karma::)?common::data::path_utils::Canonicalize\s*\(	return karma::common::data::path_utils::Canonicalize(resolved);
m-kconfig/include/kconfig/data/path_utils.hpp	Canonicalize	Canonicalize	m-karma/src/audio/backends/sdl3audio/clip_cache.cpp	50	\b(?:karma::)?common::data::path_utils::Canonicalize\s*\(	return karma::common::data::path_utils::Canonicalize(prefixed);
m-kconfig/include/kconfig/data/path_utils.hpp	Canonicalize	Canonicalize	m-karma/src/audio/backends/sdl3audio/clip_cache.cpp	58	\b(?:karma::)?common::data::path_utils::Canonicalize\s*\(	return karma::common::data::path_utils::Canonicalize(resolved);
m-kconfig/include/kconfig/data/path_utils.hpp	Canonicalize	Canonicalize	m-karma/src/cli/server/runtime_options.cpp	69	\b(?:karma::)?common::data::path_utils::Canonicalize\s*\(	return common::data::path_utils::Canonicalize(path);
m-kconfig/include/kconfig/data/root_policy.hpp	ConfigureDataRootPolicy	ConfigureDataRootPolicy	m-karma/src/renderer/tests/renderer_shadow_sandbox.cpp	726	\b(?:karma::)?common::data::ConfigureDataRootPolicy\s*\(	karma::common::data::ConfigureDataRootPolicy(data_spec);
m-kconfig/include/kconfig/data/root_policy.hpp	ConfigureDataRootPolicy	ConfigureDataRootPolicy	m-karma/src/renderer/tests/renderer_shadow_sandbox.cpp	728	\b(?:karma::)?common::data::ConfigureDataRootPolicy\s*\(	karma::common::data::ConfigureDataRootPolicy(data_spec, std::filesystem::path(options.data_root));
m-kconfig/include/kconfig/data/root_policy.hpp	ResolveRootPathPolicy	ResolveRootPathPolicy	m-karma/src/tests/support/test_asset_path.cpp	23	\b(?:karma::)?common::data::ResolveRootPathPolicy\s*\(	if (const auto resolved_root = karma::common::data::ResolveRootPathPolicy(root_policy)) {
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	m-bz3/src/client/domain/tank_collision_step_stats.cpp	45	\b(?:karma::)?common::config::ReadRequiredBoolConfig\s*\(	"config.enabled = karma::common::config::ReadRequiredBoolConfig(""gameplay.tank.collisionTrace.enabled"");"
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	m-bz3/src/client/domain/tank_motion_authority_state_machine.cpp	93	\b(?:karma::)?common::config::ReadRequiredBoolConfig\s*\(	"config.trace_enabled = karma::common::config::ReadRequiredBoolConfig(""gameplay.tank.physicsAuthorityPilot.trace.enabled"");"
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	m-bz3/src/client/runtime/engine_config.cpp	38	\b(?:karma::)?common::config::ReadRequiredBoolConfig\s*\(	"config.window.fullscreen = karma::common::config::ReadRequiredBoolConfig(""window.Fullscreen"");"
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	m-bz3/src/client/runtime/engine_config.cpp	39	\b(?:karma::)?common::config::ReadRequiredBoolConfig\s*\(	"config.window.wayland_libdecor = karma::common::config::ReadRequiredBoolConfig(""window.WaylandLibdecor"");"
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	m-bz3/src/client/runtime/engine_config.cpp	40	\b(?:karma::)?common::config::ReadRequiredBoolConfig\s*\(	"config.vsync = karma::common::config::ReadRequiredBoolConfig(""window.VSync"");"
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	m-bz3/src/client/runtime/engine_config.cpp	52	\b(?:karma::)?common::config::ReadRequiredBoolConfig\s*\(	"karma::common::config::ReadRequiredBoolConfig(""roamingMode.graphics.lighting.shadows.enabled"");"
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	m-bz3/src/client/runtime/engine_config.cpp	94	\b(?:karma::)?common::config::ReadRequiredBoolConfig\s*\(	"karma::common::config::ReadRequiredBoolConfig(""roamingMode.graphics.lighting.shadows.aoAffectsLocalLights"");"
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	m-bz3/src/client/runtime/engine_config.cpp	119	\b(?:karma::)?common::config::ReadRequiredBoolConfig\s*\(	"config.enable_audio = karma::common::config::ReadRequiredBoolConfig(""audio.enabled"");"
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	m-bz3/src/client/runtime/lifecycle.cpp	29	\b(?:karma::)?common::config::ReadRequiredBoolConfig\s*\(	"tank_enabled_ = karma::common::config::ReadRequiredBoolConfig(""gameplay.tank.enabled"");"
